,width,SRR999253,SRR999254,SRR999255
10448;FBtr0392908,2200,98,92,100
10449;FBtr0306907,2200,134,106,117
1045;FBtr0343397,2200,0,1,0
10450;FBtr0475198,2200,402,327,352
10451;FBtr0086827,2200,402,327,352
10452;FBtr0475304,2200,402,327,352
10453;FBtr0304733,2200,450,372,382
10454;FBtr0086828,2200,117,109,98
10455;FBtr0290307,2200,478,406,448
10456;FBtr0086829,2200,541,451,491
10457;FBtr0086830,2200,541,451,491
10458;FBtr0345523,2200,12,9,8
10459;FBtr0345524,2200,99,70,79
1046;FBtr0340169,2200,11,9,3
10460;FBtr0086832,2200,13,5,12
10461;FBtr0086833,2200,54,47,59
10462;FBtr0333168,2200,54,47,59
10463;FBtr0086834,2200,74,72,76
10464;FBtr0086835,2200,171,151,158
10465;FBtr0113512,2200,45,36,40
10466;FBti0064288-RA,2200,1,1,0
10467;FBtr0340269,2200,19,19,16
10468;FBtr0086836,2200,20,19,16
10469;FBtr0273298,2200,621,619,564
1047;FBtr0344771,2200,11,9,3
10470;FBtr0340271,2200,444,453,408
10471;FBtr0475306,2200,133,98,106
10472;FBtr0086839,2200,91,77,71
10473;FBtr0301265,2200,81,62,57
10474;FBtr0301266,2200,25,16,19
10475;FBtr0086840,2200,36,33,31
10476;FBtr0344933,2200,82,68,76
10477;FBtr0086842,2200,34,40,32
10478;FBtr0333558,2200,34,40,32
10479;FBtr0086843,2200,34,42,32
1048;FBtr0344770,2200,11,9,3
10480;FBtr0086844,2200,45,52,40
10481;FBtr0086845,2200,39,47,33
10482;FBtr0086846,2200,28,40,26
10483;FBtr0086847,2200,24,29,21
10484;FBtr0086848,2200,29,30,24
10485;FBtr0086849,2200,29,30,25
10486;FBtr0086850,2200,29,25,27
10487;FBtr0086851,2200,27,26,28
10488;FBtr0086852,2200,29,30,33
10489;FBtr0086853,2200,26,21,27
1049;FBtr0079243,2200,23,12,8
10490;FBtr0086854,2200,26,19,32
10491;FBtr0086855,2200,29,22,30
10492;FBtr0086856,2200,29,23,32
10493;FBtr0086857,2200,29,21,33
10494;FBtr0086858,2200,25,23,33
10495;FBtr0086859,2200,0,0,0
10496;FBtr0086860,2200,7,5,5
10497;FBtr0299816,2200,225,191,190
10498;FBtr0299817,2200,225,191,190
10499;FBtr0301183,2200,225,191,190
105;FBtr0331932,2200,1047,902,897
1050;FBtr0340167,2200,23,12,8
10500;FBtr0340274,2200,225,191,190
10501;FBtr0086862,2200,23,27,36
10502;FBtr0301182,2200,23,27,36
10503;FBtr0112388,2200,88,72,70
10504;FBtr0086864,2200,48,43,52
10505;FBtr0086865,2200,152,123,146
10506;FBtr0089545,2200,0,0,0
10507;FBtr0089546,2200,6,3,5
10508;FBtr0089547,2200,52,34,32
10509;FBtr0089548,2200,24,19,16
1051;FBtr0079247,2200,3,8,6
10510;FBtr0340275,2200,198,182,157
10511;FBti0019012-RA,2200,171,150,141
10512;FBtr0089549,2200,1,2,2
10513;FBtr0089550,2200,392,350,370
10514;FBtr0301142,2200,66,57,59
10515;FBtr0340279,2200,66,57,59
10516;FBtr0345791,2200,272,267,294
10517;FBtr0299706,2200,58,76,85
10518;FBtr0300538,2200,70,55,63
10519;FBtr0299705,2200,70,55,63
1052;FBtr0079249,2200,110,88,85
10520;FBtr0300539,2200,70,55,63
10521;FBtr0299707,2200,14,14,11
10522;FBtr0300541,2200,22,12,17
10523;FBtr0306625,2200,22,12,17
10524;FBtr0086795,2200,235,222,223
10525;FBtr0336698,2200,235,222,223
10526;FBtr0086799,2200,31,23,34
10527;FBtr0086797,2200,19,26,23
10528;FBtr0336699,2200,19,26,23
10529;FBtr0273321,2200,32,35,38
1053;FBtr0300038,2200,110,88,85
10530;FBtr0336700,2200,32,35,38
10531;FBtr0114614,2200,14,24,27
10532;FBtr0086801,2200,154,133,141
10533;FBtr0340282,2200,792,703,669
10534;FBtr0086802,2200,24,26,23
10535;FBtr0340287,2200,24,26,23
10536;FBtr0086803,2200,3,2,0
10537;FBtr0340284,2200,1,1,1
10538;FBti0064310-RA,2200,2,1,1
10539;FBtr0340285,2200,18,11,15
1054;FBtr0300039,2200,110,88,85
10540;FBtr0086804,2200,0,0,0
10541;FBtr0345582,2200,0,0,0
10542;FBtr0089630,2200,0,0,0
10543;FBti0059793-RA,2200,2,0,0
10544;FBti0018992-RA,2200,0,0,1
10545;FBtr0344762,2200,0,0,0
10546;FBtr0300216,2200,0,0,0
10547;FBtr0345643,2200,1,0,0
10548;FBtr0345644,2200,0,1,1
10549;FBtr0112627,2200,1,1,0
1055;FBtr0333242,2200,110,88,85
10550;FBtr0344194,2200,0,0,0
10551;FBti0019994-RA,2200,0,0,0
10552;FBti0059799-RA,2200,0,0,0
10553;FBtr0086732,2200,11,13,21
10554;FBtr0113092,2200,32,30,37
10555;FBtr0329994,2200,32,30,37
10556;FBtr0346952,2200,32,30,37
10557;FBtr0112389,2200,0,1,0
10558;FBti0018916-RA,2200,0,0,0
10559;FBtr0086733,2200,181,159,136
1056;FBtr0079250,2200,84,76,84
10560;FBtr0086734,2200,31,23,26
10561;FBtr0086735,2200,70,68,67
10562;FBtr0329998,2200,70,68,67
10563;FBtr0086736,2200,145,144,151
10564;FBtr0086738,2200,489,476,454
10565;FBtr0086740,2200,865,838,807
10566;FBtr0113513,2200,1278,1179,1155
10567;FBtr0113514,2200,906,801,822
10568;FBtr0091610,2200,907,804,825
10569;FBtr0086744,2200,89,73,101
1057;FBtr0331224,2200,92,85,76
10570;FBtr0340288,2200,84,73,99
10571;FBtr0086745,2200,104,117,100
10572;FBtr0086746,2200,54,58,48
10573;FBtr0345416,2200,54,58,48
10574;FBtr0300663,2200,61,56,48
10575;FBtr0300662,2200,72,64,62
10576;FBtr0300664,2200,72,64,62
10577;FBtr0345654,2200,73,64,80
10578;FBtr0086749,2200,49,50,61
10579;FBtr0332853,2200,49,50,61
1058;FBtr0331223,2200,11,18,7
10580;FBtr0332852,2200,56,40,50
10581;FBtr0086750,2200,53,38,42
10582;FBtr0347601,2200,10,7,13
10583;FBtr0086752,2200,0,4,3
10584;FBtr0086753,2200,0,0,0
10585;FBtr0344934,2200,0,0,0
10586;FBtr0345624,2200,0,0,0
10587;FBtr0474771,2200,1,0,1
10588;FBtr0086754,2200,18,11,12
10589;FBtr0340330,2200,1,0,0
1059;FBtr0079251,2200,195,161,151
10590;FBtr0089842,2200,21,18,15
10591;FBtr0340331,2200,21,18,15
10592;FBtr0301546,2200,415,366,368
10593;FBtr0086756,2200,252,245,218
10594;FBtr0086757,2200,9,11,7
10595;FBtr0340332,2200,7,15,10
10596;FBtr0086758,2200,7,20,11
10597;FBtr0086759,2200,8,22,16
10598;FBtr0086760,2200,17,26,20
10599;FBtr0340333,2200,20,25,19
106;FBtr0078057,2200,2011,1748,1741
1060;FBtr0346719,2200,2,2,0
